Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc)
mp-21915,Ce3Co4Sn13,Pm3n,-351,14,0,887.024,40,8.234
mp-2998,BaTiO3,Pm3m,-3.477,15,1.725,65.723,5,5.892
mp-1078205,KRb2InF6,Fm3m,-2.99,16,5.467,200.881,10,3.628
mp-542897,BaIrO3,C2/m,-2.007,16,0,440.307,30,8.543
mp-1095109,Ba2BiIrO6,Fm3m,-2.121,17,0,158.793,10,8.071
mp-1080537,K2NaVF6,Fm3m,-3.095,18,0,152.233,10,2.903
mp-1106185,UCrSe3,Pnma,-1.144,18,0,440.191,20,7.951
mp-1200872,CaTi2FeO6,P42/nmc,-3.124,19,1.412,437.438,40,4.368
mp-1192440,Eu5Ta4O15,P3m1,-3.422,21,0,324.858,24,8.81
mp-561954,TmCoO3,Pnma,-2.644,23,1.188,215.827,20,8.49
mp-555735,CaIrO3,Pnma,-2.077,24,0,235.849,20,7.894
mp-23438,BaBiO3,Fm3m,-2.209,25,0,173.599,10,7.543
mp-566131,KCrF3,P4/mmm,-2.907,27,1.185,77.096,5,3.19
mp-4471,ScAlO3,Pnma,-3.67,28,4.593,191.07,20,4.169
mp-1080842,Ba2UPbO6,Fm3m,-3.041,28,1.218,184.991,10,7.324
mp-556892,InBiO3,Pna21,-1.79,29,2.755,291.075,20,8.484
mp-1078588,BaTaSe3,P63/mmc,-1.564,29,0,271.868,10,6.782
mp-6152,La2ZnIrO6,P21/c,-2.654,0.03,0,259.447,20,8.083
mp-849371,CdSnO3,Pnma,-1.815,0.03,694,253.406,20,7.316
mp-12948,NaMgF3,Cmcm,-3.469,31,6.843,114.855,10,3.016
mp-1078353,MnPb2WO6,Fm3m,-1.893,32,1.677,276.746,20,8.99
mp-1106224,MnVO3,Pnma,-2.285,34,316,209.749,20,4.873
mp-1190098,CaHfS3,Pnma,-2.07,37,1.524,441.893,20,4.731
mp-550950,LuCoO3,Pnma,-2.645,37,0,201.768,20,9.28
mp-20986,CaTi4(FeO4)3,Im3,-2.899,37,1.790,430.214,40,4.563
mp-561870,Sr2CoReO6,P21/c,-2.474,38,0,510.604,40,6.717
mp-5052,TiCdO3,Pna21,-2.64,39,2.416,230.057,20,6.013
mp-1105306,TlCrO3,Pnma,-1.695,0.04,430,233.874,20,8.645
mp-510294,Sr2CuWO6,I4/m,-2.474,0.04,0,129.858,10,6.632
mp-561102,InBiO3,Pnma,-1.779,0.04,2.389,283.952,20,8.697
mp-1189861,Mn7BiO12,C2/m,-1.934,41,0,217.794,20,5.989
mp-31515,Sr2CoReO6,I4/m,-2.472,41,34,254.636,20,6.735
mp-559614,Sr2ZnReO6,P21/c,-2.56,41,0,257.359,20,6.747
mp-1095074,Ba2GdMoO6,Fm3m,-2.999,41,0,156.975,10,6.599
mp-1080506,Sr2TaInO6,Fm3m,-3.06,42,4.024,140.949,10,6.68
mp-1188812,La2MnNiO6,P21/c,-2.829,42,0,240.366,20,6.735
mp-14550,TiCdO3,Pnma,-2.636,43,2.122,227.387,20,6.084
mp-558528,La2TiZnO6,P21/c,-3.399,43,2.963,254.374,20,6.359
mp-548691,Sr2ZnReO6,I4/m,-2.557,43,0,128.938,10,6.734
mp-20472,LaRuO3,Pnma,-2.56,44,0,256.624,20,7.454
mp-4307,BaIrO3,C2/c,-1.976,47,0,426.188,30,8.826
mp-1079300,BaZrSe3,P63/mmc,-1.871,49,0,294.589,10,5.247
mp-1069774,UBRh3,Pm3m,-543,55,0,75.899,5,12.198
mp-8401,CsMgF3,Pm3m,-3.426,58,7.095,76.891,5,4.626
mp-5827,CaTiO3,Pm3m,-3.492,64,1.891,58.84,5,3.836
mp-20186,PrRuO3,Pnma,-2.484,76,0,252.949,20,7.614
mp-1080529,SrTiS3,P63/mmc,-1.84,82,0,220.756,10,3.485
mp-18747,SrMoO3,Pm3m,-2.513,84,0,67.946,5,5.659
mp-1079040,CsDyBr3,P4/mbm,-1.93,92,0,368.306,10,4.825
mp-1079847,CsFeBr3,P63/mmc,-1.248,121,384,309.098,10,4.604
mp-5660,BaIrO3,Pm3m,-1.88,143,0,67.782,5,9.249
mp-3047,MgGeO3,Cmcm,-2.403,157,2.499,94.995,10,5.067
mp-22353,Sr2ReNiO6,I4/m,-2.334,171,0,126.059,10,6.799
